10026	1
11795	1
12725	2
13278	2
13580	1
14675	3
17858	1
18137	1
19107	3
19562	1
20675	1
21045	1
22653	2
24277	2
24550	1
24681	2
24943	1
25099	2
26026	0
26475	0
26699	3
26796	3
26846	2
28478	2
28541	2
29430	1
30074	1
30340	0
30785	1
31083	2
31637	0
31776	1
31923	1
32991	2
33440	3
33574	0
35710	0
36287	2
36593	3
36608	2
36842	2
37929	1
38562	2
38611	1
39038	3
39360	3
39476	1
40576	2
40793	1
40855	1
41368	2
41380	2
42464	2
42856	0
43131	0
43343	1
43649	2
44147	0
44548	0
45142	2
45154	1
45325	1
46398	0
47750	2
47840	3
48188	2
48536	1
48685	3
49462	3
51491	1
51802	0
52101	0
53417	0
55410	2
56473	2
56828	3
57367	0
57499	2
58071	1
58495	0
58710	0
59586	2
60329	0
60427	3
60666	1
61097	3
61586	3
61770	2
63455	3
63738	3
64139	1
64482	3
65351	2
66394	1
67152	2
68184	2
69675	0
69778	3
69838	3
70990	3
72091	3
73035	1
74311	1
74557	1
76114	2
77378	1
77424	3
77520	2
77770	3
77839	1
79229	2
79724	0
80029	3
80683	0
80976	1
81935	3
82165	2
82895	0
83582	2
83950	1
84306	1
85074	2
85108	0
85412	3
85630	3
86452	0
87144	1
87207	1
87541	3
87595	2
89139	0
89825	1
90521	1
91677	0
91829	3
91948	3
92199	2
92549	3
92777	0
92968	0
93170	3
95200	1
96471	0
97571	3
97950	2
97987	0
98014	2
99423	0
99445	1
99905	3
